Datum;Uhrzeit;Deutschland/Luxemburg[€/MWh];Dänemark 1[€/MWh];Dänemark 2[€/MWh];Frankreich[€/MWh];Italien (Nord)[€/MWh];Niederlande[€/MWh];Polen[€/MWh];Schweden 4[€/MWh];Schweiz[€/MWh];Slowenien[€/MWh];Tschechien[€/MWh];Ungarn[€/MWh];Österreich[€/MWh];Deutschland/Österreich/Luxemburg[€/MWh]
01/01/19;00:00:00;28.32;28.32;28.32;51;-;68.92;-;28.32;50.26;51;8.5;59.9;33.48;-
01/01/19;01:00:00;10.07;10.07;10.07;46.27;-;64.98;-;10.07;48.74;46.27;3.97;52.71;39.76;-
01/01/19;02:00:00;-4.08;-4.08;-4.08;39.78;-;60.27;-;10.03;47.24;39.78;4.7;36.49;39.78;-
01/01/19;03:00:00;-9.91;-9.91;-9.91;27.87;-;49.97;-;4.56;36.29;27.87;0.93;31.24;27.87;-
01/01/19;04:00:00;-7.41;-7.41;-7.41;23.21;-;47.66;-;4.83;30.09;-0.36;3.9;25.98;-0.36;-
01/01/19;05:00:00;-12.55;-12.55;-12.55;22.64;-;48;-;8.09;27.31;-4.45;7.95;26.69;-4.45;-
01/01/19;06:00:00;-17.25;-17.25;-17.25;20.9;-;49.75;-;25.54;28.53;-8.99;11.7;27.99;-8.99;-
01/01/19;07:00:00;-15.07;-15.07;-15.07;26.54;-;55.12;-;39.16;26.84;-6.05;5.01;28.49;-6.05;-
01/01/19;08:00:00;-4.93;-4.93;-4.93;25;-;44.8;-;37.66;28.7;1.53;1.01;33.98;1.53;-
01/01/19;09:00:00;-6.33;-6.33;-6.33;25;-;49.58;-;21.52;35.7;0.41;0.11;41.24;0.41;-
01/01/19;10:00:00;-4.93;-4.93;-4.93;34.64;-;55.44;-;28.25;37.53;14.34;14.8;41;14.34;-
01/01/19;11:00:00;0.45;0.45;0.45;41.03;-;62.62;-;19.29;38.36;41.03;15.5;45.16;9.2;-
01/01/19;12:00:00;0.12;0.12;0.12;48.97;-;57.4;-;19.32;43.95;48.97;16.5;44.07;10.68;-
01/01/19;13:00:00;-0.02;-0.02;-0.02;41.06;-;50.76;-;16.21;43.07;41.06;16;41.16;8.85;-
01/01/19;14:00:00;0;0;0;37.95;-;49.92;-;21.47;38.82;37.95;19.53;42.83;20.49;-
01/01/19;15:00:00;-0.03;-0.03;-0.03;33.42;-;50.05;-;32.69;48.02;53.59;5;54.91;18.78;-
01/01/19;16:00:00;1.97;1.97;1.97;39.8;-;50.6;-;29.34;48.93;58.65;20;72.02;21.75;-
01/01/19;17:00:00;9.06;9.06;9.06;44.29;-;60.72;-;30.19;50.99;64.64;16.74;73.8;40.1;-
01/01/19;18:00:00;0.07;0.07;0.07;62.65;-;50.51;-;30.09;52.79;65;22.14;72.02;40;-
01/01/19;19:00:00;-4.97;-4.97;-4.97;65.56;-;47.35;-;29.58;55.17;65.56;23.27;70.63;25.07;-
01/01/19;20:00:00;-6.98;-6.98;-6.98;61.27;-;50.4;-;36.91;55.05;64.23;23;68.38;32.63;-
01/01/19;21:00:00;-24.93;-16.01;-16.01;57.41;-;47.53;-;33.14;50.7;61.72;20;53.12;0.02;-
