Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
01/01/19;00:00:00;1231.5;401;794.75;4751;0;27.5;2250.5;1733;836;851;29.5;341
01/01/19;00:15:00;1234.25;394.75;794;4937.25;0;27.5;2263.25;1588;730;822;80;339
01/01/19;00:30:00;1231.5;381.25;792.25;5118.5;0;27.5;2246;1555;649;805;29;341
01/01/19;00:45:00;1233.5;381;755.5;5188.75;0;27.5;2241.75;1459;598;797;29.25;341
01/01/19;01:00:00;1229;388.25;715.5;5297.5;0;27.5;2224.5;1368;611;766;29;339
01/01/19;01:15:00;1227.75;388;716.75;5476;0;27.5;2171.75;1352;602;740;29.25;331
01/01/19;01:30:00;1226.75;389;717.75;5616.75;0;27.5;2112.25;1322;596;734;28.75;327
01/01/19;01:45:00;1220.5;388.5;718;5646.25;0;27.5;2026.75;1338;596;728;29;325
01/01/19;02:00:00;1216;383.75;642.5;5669.5;0;27.5;2011.75;1339;601;698;50.75;319
01/01/19;02:15:00;1217;376.75;597;5716;0;27.5;2012.75;1333;570;675;36.5;315
01/01/19;02:30:00;1216;376.5;597.25;5643.75;0;27.5;1987.75;1340;528;676;0.25;316
01/01/19;02:45:00;1217.5;374;622.75;5719;0;27.5;1941.75;1331;530;672;0.25;315
01/01/19;03:00:00;1215.75;379.75;672.5;5890.25;0;27.5;1892.25;1325;567;664;0.25;313
01/01/19;03:15:00;1214.75;377.75;676.75;5897.25;0;27.5;1811;1316;603;661;0.25;314
01/01/19;03:30:00;1218.5;370.75;675.5;6004.25;0;27.5;1766;1315;599;665;0.25;314
01/01/19;03:45:00;1216.75;366.5;673;6078.5;0;27.5;1752.5;1315;588;663;0.25;314
01/01/19;04:00:00;1217;381.25;642.75;6339.75;0;27.5;1771.25;1297;573;671;0.25;315
01/01/19;04:15:00;1214.5;370.5;654;6451.25;0;27.5;1788.5;1300;578;672;0.25;314
01/01/19;04:30:00;1216.5;358.25;642.25;6549;0;27.5;1778.25;1292;580;682;0.25;315
01/01/19;04:45:00;1219.25;348.25;639.25;6581.5;0;27.5;1782;1290;577;682;0.25;317
01/01/19;05:00:00;1215.5;346;607.5;6775.25;0;27.5;1781;1271;580;679;1.25;317
01/01/19;05:15:00;1215;344.25;604.75;6809.5;0;27.5;1771;1264;584;676;1.25;317
01/01/19;05:30:00;1216.5;347;605;6899.5;0;27.5;1759.75;1269;579;683;0.25;317
01/01/19;05:45:00;1212.75;347.75;561.5;6944.75;0;27.5;1749;1273;569;683;0.25;317
01/01/19;06:00:00;1216.25;353.25;479.75;7177.75;0;27.5;1758.5;1268;539;683;0;316
01/01/19;06:15:00;1217.5;346.5;484.75;7229;0;27.5;1757;1266;541;676;0;317
01/01/19;06:30:00;1217.5;353.5;485;7315.5;0;27.5;1757.5;1272;540;678;0;316
01/01/19;06:45:00;1217;363;480.75;7364;0;27.5;1762.25;1267;539;678;0;316
01/01/19;07:00:00;1220.75;360.75;480.75;7387.5;0;27.5;1780.25;1258;540;704;0;315
01/01/19;07:15:00;1218.5;359.5;509;7460.5;0;27.5;1790;1259;543;703;0;316
01/01/19;07:30:00;1219.5;355.5;516.75;7536.5;0;27.5;1796.5;1259;542;708;0;316
01/01/19;07:45:00;1222.75;356.25;538;7520.75;0;27.5;1806.25;1263;558;706;0;316
01/01/19;08:00:00;1225.75;351.5;551.75;7596;1.75;27.5;1790.25;1237;572;712;0;315
01/01/19;08:15:00;1225;353.5;552.75;7598;9;27.5;1796;1225;569;714;0;315
01/01/19;08:30:00;1225;363;570.5;7598.25;24.75;27.5;1792.5;1226;562;715;0;311
01/01/19;08:45:00;1225.25;378;533;7647.25;48.75;27.5;1776.75;1231;565;717;0;312
01/01/19;09:00:00;1224;362.25;526.5;7598.5;78.25;27.5;1742.75;1233;602;717;0;315
01/01/19;09:15:00;1223;368;506.25;7589.25;116.25;27.5;1744.5;1229;670;715;0;316
01/01/19;09:30:00;1225.75;375.5;518.25;7463;168.75;27.5;1762.5;1233;685;717;0;316
01/01/19;09:45:00;1228.25;377.5;524;7549;219.5;27.5;1740.25;1233;686;716;0;316
01/01/19;10:00:00;1231.5;377.5;535.75;7686.5;273.75;27.5;1698.75;1239;680;715;0;315
01/01/19;10:15:00;1228;392.5;543;7766.25;320.25;27.5;1668.75;1240;672;719;0;315
01/01/19;10:30:00;1227;384.75;535;7872.75;364.5;27.5;1638.75;1238;675;724;0;316
01/01/19;10:45:00;1222.25;380.75;541.5;7985.5;410.25;27.5;1633.5;1232;670;725;0;315
01/01/19;11:00:00;1226;385.5;655.5;8143.5;446.75;27.5;1656.75;1228;676;742;0;315
01/01/19;11:15:00;1223.75;393;693.25;8215.25;506.25;27.5;1674;1229;687;742;0;316
01/01/19;11:30:00;1228.25;396.25;688.25;8305.5;547.5;27.5;1675.25;1229;696;745;0;316
01/01/19;11:45:00;1226.75;398.75;685.25;8325.75;552.75;27.5;1702.5;1233;702;743;0;316
01/01/19;12:00:00;1227.25;403.75;685;8297.5;562.5;27.5;1732;1236;693;737;0.25;316
01/01/19;12:15:00;1228.5;407;632.5;8298.5;563.25;27.5;1737.75;1240;706;739;0.25;315
01/01/19;12:30:00;1225;404.25;620.25;8360.5;560.25;27.5;1740.75;1237;706;743;0.25;316
01/01/19;12:45:00;1226.75;385.5;583.25;8422.25;545.75;27.5;1743.75;1233;704;739;0.25;316
01/01/19;13:00:00;1227.25;392.25;570.5;8487.75;524.75;27.5;1744.25;1247;707;723;30.75;315
01/01/19;13:15:00;1227;391.75;573.5;8520;524.25;27.5;1738.5;1238;705;715;0.25;316
01/01/19;13:30:00;1226.25;394.75;566.25;8549.75;500.75;27.5;1734.25;1236;700;721;0.25;315
01/01/19;13:45:00;1223.5;393.25;572.75;8614.25;456.75;27.5;1735.75;1233;700;716;0.75;314
01/01/19;14:00:00;1224.25;394;569.25;8616.5;403.75;27.5;1736.75;1233;699;720;11;315
01/01/19;14:15:00;1225;398.25;564.5;8596.5;353.5;27.5;1748.5;1240;703;716;12.25;316
01/01/19;14:30:00;1227.25;407.75;560.25;8711.5;301;27.5;1754;1247;706;723;12.5;316
01/01/19;14:45:00;1226.5;406;550.5;8699;239;27.5;1777.25;1241;704;718;41;315
01/01/19;15:00:00;1224.5;410;494.75;8580.25;183;27.5;1792.5;1269;710;717;251.75;315
01/01/19;15:15:00;1224.5;389;554.75;8609.75;132.25;27.5;1800.25;1263;713;720;250.75;316
01/01/19;15:30:00;1223.5;377.25;528.25;8694.5;85.75;27.5;1824;1244;711;723;288.5;314
01/01/19;15:45:00;1224.25;383.75;542.5;8843.75;44;27.5;1853.75;1242;699;723;229.75;315
01/01/19;16:00:00;1224.75;386.75;523.5;8937;17;27.5;1852.75;1238;681;735;325.5;314
01/01/19;16:15:00;1223;388.75;555.75;8951.5;4.25;27.5;1861.75;1230;687;733;461.25;315
01/01/19;16:30:00;1225.25;392.75;565.5;8918.5;0.5;27.5;1886;1236;685;739;670.75;316
01/01/19;16:45:00;1221.25;391.5;571.5;8931.75;0;27.5;1905.75;1247;689;735;848;314
01/01/19;17:00:00;1223.5;367.75;572.75;9016.5;0;27.5;1905.75;1246;691;734;729.5;316
01/01/19;17:15:00;1217.75;359.75;572.5;9084.5;0;27.5;1915.75;1259;693;728;857.5;316
01/01/19;17:30:00;1223.5;359.25;557;9105.25;0;27.5;1914.5;1246;687;740;856.25;315
01/01/19;17:45:00;1225;358.5;564.5;9076.5;0;27.5;1918.25;1222;685;734;955;311
01/01/19;18:00:00;1228.75;359;567.5;9049.5;0;27.5;1916.5;1223;682;720;825.25;316
01/01/19;18:15:00;1228;357.75;532;9061.25;0;27.5;1900.5;1226;684;716;797.5;315
01/01/19;18:30:00;1227;357.25;558.75;9117.5;0;27.5;1852.75;1223;686;721;749;316
01/01/19;18:45:00;1226.25;357;548.75;9095.5;0;27.5;1829.25;1227;686;718;696.5;316
01/01/19;19:00:00;1222.5;356;527.25;9014.25;0;27.5;1833.25;1229;690;711;706.5;318
01/01/19;19:15:00;1225.25;354.5;546;9005.75;0;27.5;1794.25;1227;687;712;623.25;317
01/01/19;19:30:00;1220.5;354.25;558.75;9011;0;27.5;1754;1228;687;720;558.5;315
01/01/19;19:45:00;1221.25;352.5;541.25;9014;0;27.5;1718;1224;686;717;498.5;312
01/01/19;20:00:00;1220.75;357.75;533.25;9051.5;0;27.5;1702.5;1226;680;716;403.5;315
01/01/19;20:15:00;1222;351.75;536;9016.5;0;27.5;1668.5;1221;684;716;314.5;316
01/01/19;20:30:00;1222.75;350.5;557.5;9000.5;0;27.5;1630.25;1215;685;720;240.75;315
01/01/19;20:45:00;1216.75;348.75;515.5;8986.75;0;27.5;1597.25;1214;683;719;236;316
01/01/19;21:00:00;1223.25;354.75;461;8972.75;0;27.5;1564.5;1224;691;690;78.5;316
01/01/19;21:15:00;1220.25;347.75;453.5;9035.75;0;27.5;1531.25;1222;691;696;113.5;318
01/01/19;21:30:00;1222.25;347;463.25;8984;0;27.5;1528;1225;690;698;85.5;316
01/01/19;21:45:00;1219.75;348.25;467.5;8930;0;27.5;1528;1225;690;698;90.5;314
01/01/19;22:00:00;1214.5;355.75;466.25;8656.25;0;27.5;1538.75;1234;684;703;422.5;315
01/01/19;22:15:00;1214.5;344.5;461.75;8747;0;27.5;1526.25;1223;681;701;330.25;315
01/01/19;22:30:00;1214;343.25;456.25;8742.25;0;27.5;1509.5;1222;679;708;236.75;315
